sampleID,cause.of.death,location,site.tag,sex,age.cement,mass,length,girth,kfi,splenic.index,new.pca,d13C,d15N,echino.worms.present,ech.count,ech.cap,log1.worm,qPCR.binary,bioact,empty,food.vol.unwashed,food.vol.washed,anth.vol,anth.dig.vol,anth.indig.vol,sm.vol,med.vol,ungulate.vol,bird.vol,insect.vol,veg.vol,herb.veg.vol,wood.veg.vol,fruit.vol,dig.apples.vol,dig.crops.vol,dig.food.waste.vol,dig.dog.food.vol
C001,roadkill,urban,A,F,0.256,6.5,73,40,0.5335,3.189,NA,-21.5,8.6,0,0,NA,NA,1,0,0,30,24.5,5.5,5.5,0,8,0,0,0,0,0,0,0,0,5.5,0,0,0
C002,roadkill,urban,A,M,0.425,9,91,44,0.3196,1.912,NA,-23.1,9.2,1,30000,NA,NA,1,1,0,10,4.6,4,1,3,0.5,0,0,0,0,0,0,0,0,0,0,1,0
C003,trapped,rural,Z,F,2.425,8.5,97,45,0.2963,2.427,NA,-23.5,10.1,1,551,NA,NA,1,1,0,0.5,0.6,0.5,0,0.5,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0
C004,trapped,rural,NA,M,1.908317645,16,94,58,1.0285,1.424,NA,-23.8,10.8,1,544,NA,NA,1,1,0,2560,2560.1,0.1,0.1,0,0,60,2500,0,0,0,0,0,0,0,0.1,0,0
C005,trapped,rural,F,M,0.594,10,83,46,1.1316,1.143,NA,-23.6,8.6,0,0,NA,NA,1,0,0,60,29.5,9,8,1,11,0,9,0,0,0,0,0,0.5,0,8,0,0
C006,trapped,rural,D,M,4.594,13,83,50,0.5837,1.635,NA,-22.8,8.4,0,0,NA,NA,1,0,0,130,131.5,60,60,0,0,0,0,70,0,1.5,1.5,0,0,60,0,0,0
C007,trapped,rural,G,M,0.594,8,82,43.5,0.2797,0.873,NA,-24.3,9,1,1964,NA,NA,1,1,0,701,664,0.5,0,0.5,0,661,0,1,0,1.5,0,1.5,0,0,0,0,0
C008,trapped,rural,E,M,11.425,12.5,94,53,0.4923,2.024,NA,-23,9.4,0,0,NA,NA,0,0,0,40,41.7,25.1,25,0.1,0,0,0,0,0.1,16.5,6.5,10,0,0,25,0,0
C009,trapped,rural,B,M,0.569,8,91,43,0.9377,1.06,NA,-23.5,9.1,1,636,NA,NA,1,1,0,13,13.2,9.5,9.5,0.1,0.5,2,0,0,0,1.1,0.1,1,0,3,6.5,0,0
C010,trapped,rural,D,F,0.594,8.5,89,46,0.8759,1.761,NA,-22.7,8.6,1,1,NA,NA,1,1,0,80,93.1,12,0,12,22,0,50,0.1,0,9,7,2,0,0,0,0,0
C011,trapped,rural,D,F,0.594,6.5,91,43,0,1.629,NA,-23.9,8.6,1,4,NA,NA,1,1,0,160,147.2,110,40,70,23,10,0,0.1,0,4.1,0.1,4,0,0,0,40,0
C012,roadkill,urban,A,M,3.342,14,98,52,0.6184,3.484,NA,-21.5,9,1,6,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C013,trapped,rural,NA,M,3.594,13,92,53,0.8532,1.835,NA,-22.9,9.4,1,40,NA,NA,1,1,0,300,301.1,0,0,0,0,0,300,0,0,1.1,1,0.1,0,0,0,0,0
C014,trapped,rural,E,F,0.425,6,77,35,0.1959,1.357,NA,-23.7,8.4,1,314,NA,NA,1,1,0,2.5,3.1,0,0,0,0.5,0,0,0.1,0,2.5,0.5,2,0,0,0,0,0
C015,trapped,rural,G,F,0.857189512,11,88,45.5,0.8302,1.134,NA,-22.5,9.1,1,402,NA,NA,1,1,0,40,14.1,11,0,11,0,0,3,0,0,0.1,0,0.1,0,0,0,0,0
C016,trapped,rural,G,M,2.594,11.5,86,44,0.3911,1.07,NA,-22.3,9.2,0,0,NA,NA,0,0,0,410,388.2,0,4,0.1,21.5,5,350,3,0,4.6,4.5,0.1,0,0,0,4,0
C017,roadkill,urban,A,F,1.005270992,11,88,43.5,0.1434,1.908,NA,-20.3,8.6,1,70,NA,NA,1,1,0,320,315.1,310.1,310,0.1,0,0,0,0,0,5,4,1,0,0,0,0,310
C018,trapped,rural,G,M,0.594,13,91,51,1.1692,1.4,NA,-22.7,9.1,1,1868,NA,NA,1,1,0,340,41.5,2,2,0,0,NA,0,NA,0,0,0,0,0,0,0.1,2,0
